date,total,females,registered,leisure,locals,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,note
7/28/2011,399,55,201,286,166,0,0,0,23.9,20,40,first day of Hubway!
7/29/2011,531,43,190,342,164,3.6,0,0,26.1,18.9,38,
7/30/2011,800,40,103,660,99,0,0,0,31.7,22.8,54,
7/31/2011,1005,22,102,843,100,0,0,0,32.8,21.1,38,
8/1/2011,779,65,240,527,206,0,0,0,33.9,22.2,36,
8/2/2011,655,69,299,383,218,15.2,0,0,33.3,18.9,43,
8/3/2011,906,76,312,563,259,0,0,0,23.3,18.3,30,
8/4/2011,1158,96,401,723,320,0,0,0,24.4,19.4,33,
8/5/2011,1599,105,568,1051,484,0,0,0,23.9,19.4,40,
8/6/2011,1607,68,279,1260,258,0,0,0,31.1,21.1,43,
8/7/2011,567,40,123,414,115,26.9,0,0,25,21.7,41,
8/8/2011,928,88,412,538,329,7.4,0,0,26.7,21.1,20,
8/9/2011,962,120,527,486,415,30.7,0,0,24.4,19.4,50,
8/10/2011,1048,115,546,581,466,18.5,0,0,25.6,18.9,39,
8/11/2011,1415,148,683,770,554,0,0,0,27.8,17.8,48,
8/12/2011,1472,137,620,911,529,0,0,0,28.3,18.3,30,
8/13/2011,1727,111,382,1376,375,0,0,0,27.8,18.9,29,
8/14/2011,1073,63,251,782,236,0.5,0,0,25,20,30,
8/15/2011,144,22,101,46,91,36.3,0,0,20.6,17.2,63,
8/16/2011,1008,112,543,489,445,0.3,0,0,23.3,16.7,34,
8/17/2011,1482,166,729,852,599,0,0,0,28.9,18.3,32,
8/18/2011,1460,155,721,812,603,0,0,0,31.1,20,51,
8/19/2011,1105,119,518,591,446,0.8,0,0,31.1,22.2,39,
8/20/2011,1623,90,353,1219,348,0,0,0,28.9,22.2,41,
8/21/2011,1438,84,310,1095,306,0,0,0,30,20.6,52,
8/22/2011,1378,142,707,690,575,15,0,0,26.7,20,57,
8/23/2011,1555,153,865,767,717,0,0,0,26.1,17.2,40,
8/24/2011,1549,163,848,777,704,0,0,0,27.2,17.8,56,
8/25/2011,1137,125,672,546,534,1.5,0,0,30.6,20,66,
8/26/2011,1487,151,723,823,600,0.8,0,0,28.9,21.1,34,
8/27/2011,656,62,247,446,240,19.6,0,0,26.1,21.1,26,
8/28/2011,32,8,29,13,29,23.1,0,0,24.4,19.4,121,Hurricane Irene
8/29/2011,1450,176,855,730,723,0,0,0,26.7,16.7,43,
8/30/2011,1490,208,957,691,787,0,0,0,25,16.7,31,
8/31/2011,1431,193,919,651,749,0,0,0,27.2,17.2,27,
9/1/2011,0,0,0,0,0,0,0,0,21.7,16.7,30,
9/2/2011,1404,158,698,776,610,0,0,0,20,15.6,30,
9/3/2011,1470,99,325,1120,312,0,0,0,30,15.6,44,
9/4/2011,1598,105,303,1222,296,0,0,0,29.4,20,52,
9/5/2011,1623,126,377,1163,365,0,0,0,30.6,20.6,61,
9/6/2011,541,57,330,194,273,17.3,0,0,23.3,15.6,39,
9/7/2011,368,53,296,99,258,7.6,0,0,17.2,15.6,58,
9/8/2011,678,86,475,261,407,29.7,0,0,17.8,14.4,28,
9/9/2011,1422,181,857,639,718,0,0,0,27.2,14.4,37,
9/10/2011,1681,134,470,1168,454,0,0,0,21.7,15,38,
9/11/2011,1788,123,488,1261,475,0,0,0,21.1,13.3,36,
9/12/2011,1435,217,948,593,796,0,0,0,27.8,16.7,43,
