duration,start,end,strt_statn,end_statn,userType,gender,tripType
11,07/28/2011 17:26:00,07/28/2011 17:37:00,34,12,C,,trip
5308,07/28/2011 17:37:00,08/01/2011 10:05:00,12,12,,,wait
1,08/01/2011 10:05:00,08/01/2011 10:06:00,12,12,R,M,trip
1438,08/01/2011 10:06:00,08/02/2011 10:04:00,12,12,,,wait
12,08/02/2011 10:04:00,08/02/2011 10:16:00,12,11,R,M,trip
263,08/02/2011 10:16:00,08/02/2011 14:39:00,11,11,,,wait
11,08/02/2011 14:39:00,08/02/2011 14:50:00,11,32,R,M,trip
527,08/02/2011 14:50:00,08/02/2011 23:37:00,32,32,,,wait
15,08/02/2011 23:37:00,08/02/2011 23:52:00,32,21,C,,trip
568,08/02/2011 23:52:00,08/03/2011 09:20:00,21,21,,,wait
9,08/03/2011 09:20:00,08/03/2011 09:29:00,21,49,C,,trip
165,08/03/2011 09:29:00,08/03/2011 12:14:00,49,49,,,wait
14,08/03/2011 12:14:00,08/03/2011 12:28:00,49,13,C,,trip
1550,08/03/2011 12:28:00,08/04/2011 14:18:00,13,39,,,wait
14,08/04/2011 14:18:00,08/04/2011 14:32:00,39,10,R,M,trip
47,08/04/2011 14:32:00,08/04/2011 15:19:00,10,10,,,wait
19,08/04/2011 15:19:00,08/04/2011 15:38:00,10,46,C,,trip
29,08/04/2011 15:38:00,08/04/2011 16:07:00,46,46,,,wait
6,08/04/2011 16:07:00,08/04/2011 16:13:00,46,50,C,,trip
10,08/04/2011 16:13:00,08/04/2011 16:23:00,50,50,,,wait
7,08/04/2011 16:23:00,08/04/2011 16:30:00,50,23,C,,trip
3,08/04/2011 16:30:00,08/04/2011 16:33:00,23,23,,,wait
15,08/04/2011 16:33:00,08/04/2011 16:48:00,23,24,C,,trip
3,08/04/2011 16:48:00,08/04/2011 16:51:00,24,24,,,wait
20,08/04/2011 16:51:00,08/04/2011 17:11:00,24,46,C,,trip
5,08/04/2011 17:11:00,08/04/2011 17:16:00,46,46,,,wait
5,08/04/2011 17:16:00,08/04/2011 17:21:00,46,52,R,F,trip
4,08/04/2011 17:21:00,08/04/2011 17:25:00,52,52,,,wait
17,08/04/2011 17:25:00,08/04/2011 17:42:00,52,31,C,,trip
47,08/04/2011 17:42:00,08/04/2011 18:29:00,31,31,,,wait
22,08/04/2011 18:29:00,08/04/2011 18:51:00,31,9,R,M,trip
115,08/04/2011 18:51:00,08/04/2011 20:46:00,9,9,,,wait
13,08/04/2011 20:46:00,08/04/2011 20:59:00,9,8,C,,trip
952,08/04/2011 20:59:00,08/05/2011 12:51:00,8,37,,,wait
29,08/05/2011 12:51:00,08/05/2011 13:20:00,37,37,C,,trip
1428,08/05/2011 13:20:00,08/06/2011 13:08:00,37,40,,,wait
109,08/06/2011 13:08:00,08/06/2011 14:57:00,40,47,C,,trip
670,08/06/2011 14:57:00,08/07/2011 02:07:00,47,38,,,wait
32,08/07/2011 02:07:00,08/07/2011 02:39:00,38,32,C,,trip
1791,08/07/2011 02:39:00,08/08/2011 08:30:00,32,3,,,wait
12,08/08/2011 08:30:00,08/08/2011 08:42:00,3,50,R,M,trip
337,08/08/2011 08:42:00,08/08/2011 14:19:00,50,16,,,wait
17,08/08/2011 14:19:00,08/08/2011 14:36:00,16,3,C,,trip
1056,08/08/2011 14:36:00,08/09/2011 08:12:00,3,3,,,wait
5,08/09/2011 08:12:00,08/09/2011 08:17:00,3,45,R,M,trip
501,08/09/2011 08:17:00,08/09/2011 16:38:00,45,45,,,wait
6,08/09/2011 16:38:00,08/09/2011 16:44:00,45,11,R,M,trip
6,08/09/2011 16:44:00,08/09/2011 16:50:00,11,11,,,wait
7,08/09/2011 16:50:00,08/09/2011 16:57:00,11,12,R,M,trip
1003,08/09/2011 16:57:00,08/10/2011 09:40:00,12,12,,,wait
13,08/10/2011 09:40:00,08/10/2011 09:53:00,12,10,R,F,trip
107,08/10/2011 09:53:00,08/10/2011 11:40:00,10,10,,,wait
17,08/10/2011 11:40:00,08/10/2011 11:57:00,10,16,R,F,trip
