ID,orig,dest,polyline
1,3,4,wplaGt|}pLbDtB|GfEzBeJl@oBgBaAc@UV_Af@cBh@}ASm@FK\o@LEDFL@DCRKTKqAiEc@_Bc@qB{AaF_B_FgCgJcB{F}DmMiAwD_@cAYk@uBqCG[oDsE_@e@Y]t@sA_GsHqE}Fn@eAjCmErBiDv@sAKMHKNYUUCIY}@@??A?A@A?CAECEC?A?FWMOIKJKQeA_Gs\sBkLPYPs@mAk@
2,3,5,wplaGt|}pLz@j@ENCBE?EDc@zAGMEKICK?a@^UTIAIG]e@Uq@CIX]x@{@TmABc@?YIo@IUKKKGO?COL]Jc@Fg@@i@@IMeASw@Mc@gCmDYi@Ok@[kB^aBPuARyAFOZkAPsAd@m@h@]H]NUf@m@tDcCi@kBQ]GI{DsByDsBk@Y
3,3,6,wplaGt|}pLz@j@ENCBE?EDc@zAGMEKICK?a@^UTIAIG]e@Uq@CIX]x@{@TmABc@?YIo@IUKKKGO?COL]Jc@Fg@@i@@IMeASw@Mc@gCmDYi@Ok@[kB^aBPuARyAFOZkAPsAd@m@h@]H]NUf@m@tDcCi@kBQ]GI{DsByDsByAu@uAUaLqBeIwA]I@OCUe@qCi@sCaAb@UcA_@eCs@qDKq@MMIo@qAqHkBgKaI|CcK|DgBp@kA{Gy@uEmBwKI@AEYuAUFa@PZnBZ`Bc@Ru@aEw@oEqBeLWaAYs@w@{ARmA@_@Ce@GUQMIMEc@Q[WSMEc@Ce@DUGQIEI?S?YKEyAa@oB]gEw@oBWq@FUFYN_@RWJAFADQPCFNd@D??IO[IWKk@Iw@C{@BwAEAEh@BF^DM]E[?k@@O@MJSGY@G@Q?c@Ka@Um@Qc@CW?uBI}O@wEW?AiA
4,3,7,wplaGt|}pLz@j@ENCBE?EDc@zAGMEKICK?a@^UTIAIG]e@Uq@CIX]x@{@TmABc@?YIo@IUKKKGO?COL]Jc@Fg@@i@@IMeASw@Mc@gCmDYi@Ok@[kB^aBPuARyAFOZkAPsAd@m@h@]H]NUf@m@tDcCi@kBQ]GI{DsByDsByAu@uAUaLqBeIwA]I@OCUe@qCi@sCaAb@UcA_@eCs@qDKq@MMIo@qAqHkBgKiBkKwFu[qBmL{AmI_@uBA[eBaNWwB?a@?oBXaMFkBB_CEqAUsGIuBIuC@iBDoBZuEH{@TcANkAAY@]ZoBV_BSGgB{@UOW[SSY_@Uc@cEoKcCmGIYLQhAeBtCgHXq@RSNa@b@cAvB}FfB_Fn@gBo@Yq@u@w@aAg@vA
5,3,8,wplaGt|}pLz@j@ENCBE?EDo@xBEZI|@XXh@h@^M?RBLRXjDxDfAzArAzAf@r@K\a@jAq@xAwFrLuApCu@`BOp@UhCEt@Cn@?~DAlEOdDo@hNc@|FyD]yFc@YCmCWeIu@mDc@o@EkABc@@uAQcDc@eBSuC_@cFs@w@IcB`YyAdVQzBATDr@@|@e@nIWvEuAvUaApO]rFKlBw@RkAZVx@j@dBv@xBD_@
6,3,9,wplaGt|}pLz@j@ENCBE?EDo@xBEZI|@XXh@h@^M?RBLRXjDxDfAzArAzAf@r@K\a@jAq@xAwFrLuApCu@`BOp@UhCEt@Cn@?~DAlEOdDo@hNc@|FyD]yFc@YCmCWeIu@mDc@o@EkABc@@uAQcDc@eBSuC_@cFs@w@IIrA
7,3,10,wplaGt|}pLz@j@ENCBE?EDc@zAGMEKICK?a@^UTIAIG]e@Uq@CIYZiBlBaF|E}BeCcAiA{A}AgGwGcAcAo@u@}BgC_CgCsCwCiAgASO]EM??RCGYe@CUCg@Ch@A`@A`@SvDeDvi@S|C
8,3,11,wplaGt|}pLz@j@ENCBE?EDo@xBEZI|@XXh@h@^M?RBLRXjDxDfAzArAzAf@r@K\a@jAq@xAw@dB
9,3,12,wplaGt|}pLWSOi@bAyAnAgBj@gAt@cB\_Ab@yAFi@Di@z@kBxBmGTs@n@iCn@{BbBcGfAaEbAkDh@cBb@o@r@m@I]EGSg@SaAAm@Dw@eB_C
10,3,13,wplaGt|}pLWSOi@bAyAnAgBj@gAt@cB\_Ab@yAFi@Di@z@kBxBmGTs@n@iCn@{BbBcGfAaEbAkDh@cBb@o@r@m@I]EGSg@SaAAm@Dw@UYLKmAqB]c@]s@KSIKLIBEBGLYj@m@b@YTUH[Lg@Lc@j@gBFKDUZ_Bd@iBT}@T}ARg@Va@Xa@HWJg@L_@PUZ[R[Rw@J[\k@Zy@Vg@b@e@JYHUIEoAy@s@m@q@{@a@g@UImAaBsAcBsEgGcA{A|DeFrCwDtCoD
