ID,orig,dest
1,3,4
2,3,5
3,3,6
4,3,7
5,3,8
6,3,9
7,3,10
8,3,11
9,3,12
10,3,13
11,3,14
12,3,15
13,3,16
14,3,17
15,3,18
16,3,19
17,3,20
18,3,21
19,3,22
20,3,23
21,3,24
22,3,25
23,3,26
24,3,27
25,3,29
26,3,30
27,3,31
28,3,32
29,3,33
30,3,34
31,3,35
32,3,36
33,3,37
34,3,38
35,3,39
36,3,40
37,3,41
38,3,42
39,3,43
40,3,44
41,3,45
42,3,46
43,3,47
44,3,48
45,3,49
46,3,50
47,3,51
48,3,52
49,3,53
50,3,54
51,3,55
52,3,56
53,3,57
54,3,58
55,3,59
56,3,60
57,3,61
58,3,62
59,3,63
60,3,64
61,3,65
62,3,66
63,3,67
64,3,68
65,3,69
66,3,70
67,3,71
68,3,72
69,3,73
70,3,74
71,3,75
72,3,76
73,3,77
74,3,78
75,3,79
76,3,80
77,3,81
78,3,82
79,3,83
80,3,84
81,3,85
82,3,86
83,3,87
84,3,88
85,3,89
86,3,90
87,3,91
88,3,92
89,3,93
90,3,94
91,3,95
92,3,96
93,3,97
94,3,98
95,3,99
96,3,100
97,3,101
98,3,102
99,3,103
100,3,104
101,3,105
102,3,106
103,3,107
104,3,108
105,3,109
106,3,110
107,3,111
108,3,112
109,3,113
110,3,114
111,3,115
112,3,116
113,3,117
114,3,118
115,3,119
116,3,120
117,3,121
118,3,122
119,3,123
120,3,124
121,3,125
122,3,126
123,3,127
124,3,128
125,3,129
126,3,130
127,3,131
128,3,132
129,3,133
130,3,134
131,3,135
132,3,136
133,3,137
134,3,138
135,3,139
136,3,140
137,3,141
138,3,142
139,3,143
140,3,144
141,3,145
142,4,5
143,4,6
144,4,7
145,4,8
146,4,9
147,4,10
148,4,11
149,4,12
150,4,13
151,4,14
152,4,15
153,4,16
154,4,17
155,4,18
156,4,19
157,4,20
158,4,21
159,4,22
160,4,23
161,4,24
162,4,25
163,4,26
164,4,27
165,4,29
166,4,30
167,4,31
168,4,32
169,4,33
170,4,34
171,4,35
172,4,36
173,4,37
174,4,38
175,4,39
176,4,40
177,4,41
178,4,42
179,4,43
180,4,44
181,4,45
182,4,46
183,4,47
184,4,48
185,4,49
186,4,50
187,4,51
188,4,52
189,4,53
190,4,54
191,4,55
192,4,56
193,4,57
194,4,58
195,4,59
196,4,60
197,4,61
198,4,62
199,4,63
200,4,64
201,4,65
202,4,66
203,4,67
204,4,68
205,4,69
206,4,70
207,4,71
208,4,72
209,4,73
210,4,74
211,4,75
212,4,76
213,4,77
214,4,78
215,4,79
216,4,80
217,4,81
218,4,82
219,4,83
220,4,84
221,4,85
222,4,86
223,4,87
224,4,88
225,4,89
226,4,90
227,4,91
228,4,92
229,4,93
230,4,94
231,4,95
232,4,96
233,4,97
234,4,98
235,4,99
236,4,100
237,4,101
238,4,102
239,4,103
240,4,104
241,4,105
242,4,106
243,4,107
244,4,108
245,4,109
246,4,110
247,4,111
248,4,112
249,4,113
250,4,114
251,4,115
252,4,116
253,4,117
254,4,118
255,4,119
256,4,120
257,4,121
258,4,122
259,4,123
260,4,124
261,4,125
262,4,126
263,4,127
264,4,128
265,4,129
266,4,130
267,4,131
268,4,132
269,4,133
270,4,134
271,4,135
272,4,136
273,4,137
274,4,138
275,4,139
276,4,140
277,4,141
278,4,142
279,4,143
280,4,144
281,4,145
282,5,6
283,5,7
284,5,8
285,5,9
286,5,10
287,5,11
288,5,12
289,5,13
290,5,14
291,5,15
292,5,16
293,5,17
294,5,18
295,5,19
296,5,20
297,5,21
298,5,22
299,5,23
300,5,24
301,5,25
302,5,26
303,5,27
304,5,29
305,5,30
306,5,31
307,5,32
308,5,33
309,5,34
310,5,35
311,5,36
312,5,37
313,5,38
314,5,39
315,5,40
316,5,41
317,5,42
318,5,43
319,5,44
320,5,45
321,5,46
322,5,47
323,5,48
324,5,49
325,5,50
326,5,51
327,5,52
328,5,53
329,5,54
330,5,55
331,5,56
