origdest,dist,time,speed,polyline,trips
003004,2.28,15.8,8.7,wplaGt|}pLbDtB|GfEzBeJl@oBgBaAc@UV_Af@cBh@}ASm@FK\o@LEDFL@DCRKTKqAiEc@_Bc@qB{AaF_B_FgCgJcB{F}DmMiAwD_@cAYk@uBqCG[oDsE_@e@Y]t@sA_GsHqE}Fn@eAjCmErBiDv@sAKMHKNYUUCIY}@@??A?A@A?CAECEC?A?FWMOIKJKQeA_Gs\sBkLPYPs@mAk@,347
003005,0.93,6.5,8.6,wplaGt|}pLz@j@ENCBE?EDc@zAGMEKICK?a@^UTIAIG]e@Uq@CIX]x@{@TmABc@?YIo@IUKKKGO?COL]Jc@Fg@@i@@IMeASw@Mc@gCmDYi@Ok@[kB^aBPuARyAFOZkAPsAd@m@h@]H]NUf@m@tDcCi@kBQ]GI{DsByDsBk@Y,536
003006,3.68,25.3,8.7,wplaGt|}pLz@j@ENCBE?EDc@zAGMEKICK?a@^UTIAIG]e@Uq@CIX]x@{@TmABc@?YIo@IUKKKGO?COL]Jc@Fg@@i@@IMeASw@Mc@gCmDYi@Ok@[kB^aBPuARyAFOZkAPsAd@m@h@]H]NUf@m@tDcCi@kBQ]GI{DsByDsByAu@uAUaLqBeIwA]I@OCUe@qCi@sCaAb@UcA_@eCs@qDKq@MMIo@qAqHkBgKaI|CcK|DgBp@kA{Gy@uEmBwKI@AEYuAUFa@PZnBZ`Bc@Ru@aEw@oEqBeLWaAYs@w@{ARmA@_@Ce@GUQMIMEc@Q[WSMEc@Ce@DUGQIEI?S?YKEyAa@oB]gEw@oBWq@FUFYN_@RWJAFADQPCFNd@D??IO[IWKk@Iw@C{@BwAEAEh@BF^DM]E[?k@@O@MJSGY@G@Q?c@Ka@Um@Qc@CW?uBI}O@wEW?AiA,202
003007,3.83,27.4,8.4,wplaGt|}pLz@j@ENCBE?EDc@zAGMEKICK?a@^UTIAIG]e@Uq@CIX]x@{@TmABc@?YIo@IUKKKGO?COL]Jc@Fg@@i@@IMeASw@Mc@gCmDYi@Ok@[kB^aBPuARyAFOZkAPsAd@m@h@]H]NUf@m@tDcCi@kBQ]GI{DsByDsByAu@uAUaLqBeIwA]I@OCUe@qCi@sCaAb@UcA_@eCs@qDKq@MMIo@qAqHkBgKiBkKwFu[qBmL{AmI_@uBA[eBaNWwB?a@?oBXaMFkBB_CEqAUsGIuBIuC@iBDoBZuEH{@TcANkAAY@]ZoBV_BSGgB{@UOW[SSY_@Uc@cEoKcCmGIYLQhAeBtCgHXq@RSNa@b@cAvB}FfB_Fn@gBo@Yq@u@w@aAg@vA,6
003008,2.9,20.8,8.4,wplaGt|}pLz@j@ENCBE?EDo@xBEZI|@XXh@h@^M?RBLRXjDxDfAzArAzAf@r@K\a@jAq@xAwFrLuApCu@`BOp@UhCEt@Cn@?~DAlEOdDo@hNc@|FyD]yFc@YCmCWeIu@mDc@o@EkABc@@uAQcDc@eBSuC_@cFs@w@IcB`YyAdVQzBATDr@@|@e@nIWvEuAvUaApO]rFKlBw@RkAZVx@j@dBv@xBD_@,120
003009,1.75,14.0,7.5,wplaGt|}pLz@j@ENCBE?EDo@xBEZI|@XXh@h@^M?RBLRXjDxDfAzArAzAf@r@K\a@jAq@xAwFrLuApCu@`BOp@UhCEt@Cn@?~DAlEOdDo@hNc@|FyD]yFc@YCmCWeIu@mDc@o@EkABc@@uAQcDc@eBSuC_@cFs@w@IIrA,184
003010,1.32,10.9,7.3,wplaGt|}pLz@j@ENCBE?EDc@zAGMEKICK?a@^UTIAIG]e@Uq@CIYZiBlBaF|E}BeCcAiA{A}AgGwGcAcAo@u@}BgC_CgCsCwCiAgASO]EM??RCGYe@CUCg@Ch@A`@A`@SvDeDvi@S|C,138
003011,0.41,2.6,9.4,wplaGt|}pLz@j@ENCBE?EDo@xBEZI|@XXh@h@^M?RBLRXjDxDfAzArAzAf@r@K\a@jAq@xAw@dB,476
003012,0.79,6.4,7.4,wplaGt|}pLWSOi@bAyAnAgBj@gAt@cB\_Ab@yAFi@Di@z@kBxBmGTs@n@iCn@{BbBcGfAaEbAkDh@cBb@o@r@m@I]EGSg@SaAAm@Dw@eB_C,942
003013,1.8,13.8,7.8,wplaGt|}pLWSOi@bAyAnAgBj@gAt@cB\_Ab@yAFi@Di@z@kBxBmGTs@n@iCn@{BbBcGfAaEbAkDh@cBb@o@r@m@I]EGSg@SaAAm@Dw@UYLKmAqB]c@]s@KSIKLIBEBGLYj@m@b@YTUH[Lg@Lc@j@gBFKDUZ_Bd@iBT}@T}ARg@Va@Xa@HWJg@L_@PUZ[R[Rw@J[\k@Zy@Vg@b@e@JYHUIEoAy@s@m@q@{@a@g@UImAaBsAcBsEgGcA{A|DeFrCwDtCoD,84
