timeofday,total,female,reg,leisure,dist,time,totalWeekend,femaleWeekend,regWeekend,leisureWeekend,distWeekend,timeWeekend
0:00,5215,536,3096,2025,"9,591.31",110542,1234,121,608,573,"2,137.04",29377
0:15,4551,443,2672,1694,"9,187.25",105616,1136,100,595,493,"2,029.58",24743
0:30,4174,369,2326,1541,"7,600.16",90922,1051,93,532,399,"1,898.61",24801
0:45,3690,308,2034,1417,"7,431.55",79076,923,65,439,376,"2,003.94",20822
1:00,3730,301,1942,1374,"7,127.11",91209,1083,74,511,442,"2,036.41",25176
1:15,3562,279,1667,1513,"7,256.59",123074,1139,78,479,530,"2,640.5",34266
1:30,3478,240,1522,1507,"7,512.19",113044,1257,80,482,587,"2,518.47",38409
1:45,3388,194,1450,1465,"7,177.9",110879,1300,72,486,598,"2,596.92",41399
2:00,3562,190,1437,1642,"7,841.26",114361,1548,67,528,757,"3,329.36",49030
2:15,3206,141,1170,1628,"7,204.6",209505,1406,53,394,787,"3,298.07",76308
2:30,2152,97,779,1004,"5,067.97",86414,986,41,263,517,"2,036.07",38670
2:45,1475,56,570,661,"3,966.66",58873,603,19,184,284,"2,094.3",28652
3:00,1008,44,482,404,"1,990.51",31228,287,8,111,126,599.76,9790
3:15,798,35,391,318,"1,879.45",21226,243,9,103,112,639.8,9637
3:30,681,40,339,278,"1,321.69",22749,189,9,86,78,429.18,4350
3:45,547,32,295,180,"1,430.16",18002,153,5,75,62,451.01,5965
4:00,479,30,242,165,948.89,28914,123,7,55,50,220.57,7368
4:15,538,82,317,146,"1,275.12",18248,105,10,50,40,375.85,6266
4:30,556,73,319,147,"1,347.8",20114,95,6,41,37,182.1,2597
4:45,612,94,405,138,"1,240.23",10529,85,9,40,24,302.1,2671
5:00,1046,214,812,218,"2,098.05",25669,98,6,46,28,253.5,10789
5:15,1265,292,1023,220,"2,272.07",25252,92,8,56,26,176.65,11004
5:30,2086,594,1834,285,"3,619.95",23679,117,20,84,35,200.84,1602
5:45,2745,1020,2426,408,"4,638.89",32059,111,20,80,34,205.2,3170
6:00,3648,1041,3219,590,"6,879.42",48794,137,19,96,52,351.59,3635
6:15,6422,1271,5893,938,"11,442.1",74878,169,27,127,40,341.21,2412
6:30,7714,1955,7155,1120,"13,873.99",92772,212,55,150,52,474.34,3996
6:45,8822,1804,8075,1360,"15,043.39",102990,195,32,139,60,372.43,5783
7:00,11786,2398,10779,1901,"20,030.97",149947,273,55,166,115,646.92,7393
7:15,14214,3159,12867,2486,"26,261.74",218385,367,68,223,150,"1,014.69",10903
7:30,21425,4670,19541,3531,"38,750.3",319995,465,94,295,161,"1,170.22",13770
7:45,25874,5118,23579,4127,"44,275.66",305441,567,101,368,217,"1,183.39",11299
8:00,29323,6293,26775,4982,"52,325.6",355395,578,118,362,230,"1,432.97",13326
8:15,33181,7282,30070,6323,"58,832.64",421081,698,135,414,270,"1,444.48",16441
