duration,start_date,strt_statn,end_statn,subsc_type,zip_code,age,gender,ID
11,7/28/2011 17:26:00,34,12,C,,,,188
1,8/1/2011 10:05:00,12,12,R,'02131,58,M,2857
12,8/2/2011 10:04:00,12,11,R,'02131,58,M,3705
11,8/2/2011 14:39:00,11,32,R,'02215,27,M,3907
15,8/2/2011 23:37:00,32,21,C,,,,4161
9,8/3/2011 09:20:00,21,49,C,,,,4309
14,8/3/2011 12:14:00,49,13,C,,,,4416
14,8/4/2011 14:18:00,39,10,R,'02215,37,M,5530
19,8/4/2011 15:19:00,10,46,C,,,,5595
6,8/4/2011 16:07:00,46,50,C,,,,5654
7,8/4/2011 16:23:00,50,23,C,,,,5678
15,8/4/2011 16:33:00,23,24,C,,,,5697
20,8/4/2011 16:51:00,24,46,C,,,,5726
5,8/4/2011 17:16:00,46,52,R,'02118,52,F,5785
17,8/4/2011 17:25:00,52,31,C,,,,5801
22,8/4/2011 18:29:00,31,9,R,'02109,27,M,5904
13,8/4/2011 20:46:00,9,8,C,,,,6089
29,8/5/2011 12:51:00,37,37,C,,,,6787
109,8/6/2011 13:08:00,40,47,C,,,,8379
32,8/7/2011 02:07:00,38,32,C,,,,9502
12,8/8/2011 08:30:00,3,50,R,'02130,32,M,10158
17,8/8/2011 14:19:00,16,3,C,,,,10421
5,8/9/2011 08:12:00,3,45,R,'02472,33,M,11060
6,8/9/2011 16:38:00,45,11,R,'02472,33,M,11621
7,8/9/2011 16:50:00,11,12,R,'02155,55,M,11648
13,8/10/2011 09:40:00,12,10,R,'02130,31,F,12057
17,8/10/2011 11:40:00,10,16,R,'02130,31,F,12124
59,8/10/2011 16:14:00,16,16,C,,,,12420
6,8/10/2011 18:36:00,16,42,C,,,,12670
11,8/10/2011 20:30:00,42,32,C,,,,12817
13,8/10/2011 21:39:00,32,42,C,,,,12877
18,8/10/2011 23:25:00,42,33,C,,,,12932
8,8/12/2011 10:17:00,33,13,R,'02115,27,M,14660
8,8/12/2011 14:33:00,13,46,C,,,,15026
130,8/12/2011 14:51:00,46,52,C,,,,15043
53,8/12/2011 19:24:00,52,38,C,,,,15544
8,8/13/2011 10:51:00,38,22,C,,,,16125
40,8/13/2011 15:03:00,22,22,C,,,,16711
20,8/18/2011 16:57:00,22,45,R,'02215,27,M,22107
8,8/18/2011 18:59:00,45,46,R,'02215,26,F,22387
8,8/18/2011 19:47:00,46,16,C,,,,22486
18,8/18/2011 22:36:00,16,31,R,'02128,24,M,22671
5,8/19/2011 00:46:00,31,22,C,,,,22749
102,8/21/2011 13:53:00,22,36,C,,,,26056
8,8/21/2011 15:38:00,36,49,C,,,,26288
37,8/21/2011 19:09:00,49,3,C,,,,26650
59,8/22/2011 14:13:00,3,24,C,,,,27397
13,8/22/2011 16:14:00,24,23,R,'02113,32,F,27544
22,8/22/2011 17:19:00,23,41,R,'02135,27,M,27711
4,8/23/2011 10:27:00,36,52,C,,,,28638
6,8/23/2011 15:26:00,52,42,R,'02108,25,M,29052
5,8/23/2011 16:16:00,42,48,R,'02332,40,M,29118
6,8/23/2011 16:59:00,48,38,R,'01915,44,M,29226
14,8/24/2011 12:39:00,43,47,C,,,,30330
21,8/24/2011 13:27:00,47,35,C,,,,30411
6,8/24/2011 14:00:00,35,42,R,'02021,60,M,30458
18,8/24/2011 14:10:00,42,52,R,'02021,60,M,30477
36,8/24/2011 16:29:00,52,24,C,,,,30671
12,8/24/2011 17:11:00,24,6,R,'03062,31,M,30808
17,8/24/2011 18:10:00,6,53,R,'02115,28,M,30953
8,8/24/2011 20:45:00,53,36,R,'02116,26,F,31249
14,8/24/2011 22:47:00,36,49,C,,,,31346
5,8/25/2011 08:30:00,49,22,R,'02116,28,M,31561
8,8/25/2011 09:09:00,22,50,R,'02324,42,M,31634
22,8/25/2011 12:50:00,50,50,C,,,,31858
35,8/25/2011 14:32:00,50,39,C,,,,31972
11,8/25/2011 17:42:00,39,36,R,'02116,39,M,32243
