DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND
7/28/2011,0.0,0,0,23.9,20.0,40
7/29/2011,3.6,0,0,26.1,18.9,38
7/30/2011,0.0,0,0,31.7,22.8,54
7/31/2011,0.0,0,0,32.8,21.1,38
8/1/2011,0.0,0,0,33.9,22.2,36
8/2/2011,15.2,0,0,33.3,18.9,43
8/3/2011,0.0,0,0,23.3,18.3,30
8/4/2011,0.0,0,0,24.4,19.4,33
8/5/2011,0.0,0,0,23.9,19.4,40
8/6/2011,0.0,0,0,31.1,21.1,43
8/7/2011,26.9,0,0,25.0,21.7,41
8/8/2011,7.4,0,0,26.7,21.1,20
8/9/2011,30.7,0,0,24.4,19.4,50
8/10/2011,18.5,0,0,25.6,18.9,39
8/11/2011,0.0,0,0,27.8,17.8,48
8/12/2011,0.0,0,0,28.3,18.3,30
8/13/2011,0.0,0,0,27.8,18.9,29
8/14/2011,0.5,0,0,25.0,20.0,30
8/15/2011,36.3,0,0,20.6,17.2,63
8/16/2011,0.3,0,0,23.3,16.7,34
8/17/2011,0.0,0,0,28.9,18.3,32
8/18/2011,0.0,0,0,31.1,20.0,51
8/19/2011,0.8,0,0,31.1,22.2,39
8/20/2011,0.0,0,0,28.9,22.2,41
8/21/2011,0.0,0,0,30.0,20.6,52
8/22/2011,15.0,0,0,26.7,20.0,57
8/23/2011,0.0,0,0,26.1,17.2,40
8/24/2011,0.0,0,0,27.2,17.8,56
8/25/2011,1.5,0,0,30.6,20.0,66
8/26/2011,0.8,0,0,28.9,21.1,34
8/27/2011,19.6,0,0,26.1,21.1,26
8/28/2011,23.1,0,0,24.4,19.4,121
8/29/2011,0.0,0,0,26.7,16.7,43
8/30/2011,0.0,0,0,25.0,16.7,31
8/31/2011,0.0,0,0,27.2,17.2,27
9/1/2011,0.0,0,0,21.7,16.7,30
9/2/2011,0.0,0,0,20.0,15.6,30
9/3/2011,0.0,0,0,30.0,15.6,44
9/4/2011,0.0,0,0,29.4,20.0,52
